-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,15122,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15124,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15122,15123,15123,15661,16216,16217,16218,16217,16217,16217,16217,16217,16217,16217,15660,15123,15123,15124,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15392,16217,16217,16217,16487,16487,16487,16487,16487,16487,16487,16487,16487,16487,16217,16217,16217,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15392,16487,16487,16487,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,16487,16487,16487,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15392,18917,18917,18917,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18917,18917,18917,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15392,18917,18917,18917,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18917,18917,18917,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,15143,15392,18917,18917,18917,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18917,18917,18917,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15392,18917,18917,18917,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18917,18917,18917,15394,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15662,15663,15663,15391,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,15390,15663,15663,15664,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,15662,15663,15663,15663,15663,15663,15663,15663,15663,15663,15663,15664,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
